,suburb,page
406, DAWES POINT NSW 2000,1
407, HAYMARKET NSW 2000,1
408, MILLERS POINT NSW 2000,1
409, PARLIAMENT HOUSE NSW 2000,1
410, SYDNEY NSW 2000,1
411, SYDNEY SOUTH NSW 2000,1
412, THE ROCKS NSW 2000,1
413, SYDNEY NSW 2001,1
414, WORLD SQUARE NSW 2002,1
415, THE UNIVERSITY OF SYDNEY NSW 2006,1
416, BROADWAY NSW 2007,1
417, ULTIMO NSW 2007,1
418, CHIPPENDALE NSW 2008,1
419, DARLINGTON NSW 2008,1
420, PYRMONT NSW 2009,1
421, DARLINGHURST NSW 2010,1
422, SURRY HILLS NSW 2010,1
423, ELIZABETH BAY NSW 2011,1
424, HMAS KUTTABUL NSW 2011,1
425, POTTS POINT NSW 2011,1
426, RUSHCUTTERS BAY NSW 2011,1
427, WOOLLOOMOOLOO NSW 2011,1
428, STRAWBERRY HILLS NSW 2012,1
429, STRAWBERRY HILLS NSW 2013,1
430, ALEXANDRIA NSW 2015,1
431, BEACONSFIELD NSW 2015,1
432, EVELEIGH NSW 2015,1
433, REDFERN NSW 2016,1
434, WATERLOO NSW 2017,1
435, ZETLAND NSW 2017,1
436, EASTLAKES NSW 2018,1
437, ROSEBERY NSW 2018,1
438, BANKSMEADOW NSW 2019,1
439, BOTANY NSW 2019,1
440, MASCOT NSW 2020,1
441, SYDNEY DOMESTIC AIRPORT NSW 2020,1
442, SYDNEY INTERNATIONAL AIRPORT NSW 2020,1
443, MOORE PARK NSW 2021,1
444, PADDINGTON NSW 2021,1
445, BONDI JUNCTION NSW 2022,1
446, BONDI JUNCTION PLAZA NSW 2022,1
447, QUEENS PARK NSW 2022,1
448, BELLEVUE HILL NSW 2023,1
449, BRONTE NSW 2024,1
450, WAVERLEY NSW 2024,1
451, WOOLLAHRA NSW 2025,1
452, BONDI NSW 2026,1
453, BONDI BEACH NSW 2026,1
454, NORTH BONDI NSW 2026,1
455, TAMARAMA NSW 2026,1
456, DARLING POINT NSW 2027,1
457, EDGECLIFF NSW 2027,1
458, HMAS RUSHCUTTERS NSW 2027,1
459, POINT PIPER NSW 2027,1
460, DOUBLE BAY NSW 2028,1
461, ROSE BAY NSW 2029,1
462, DOVER HEIGHTS NSW 2030,1
463, HMAS WATSON NSW 2030,1
464, ROSE BAY NORTH NSW 2030,1
465, VAUCLUSE NSW 2030,1
466, WATSONS BAY NSW 2030,1
467, CLOVELLY NSW 2031,1
468, CLOVELLY WEST NSW 2031,1
469, RANDWICK NSW 2031,1
470, ST PAULS NSW 2031,1
471, DACEYVILLE NSW 2032,1
472, KINGSFORD NSW 2032,1
473, KENSINGTON NSW 2033,1
474, COOGEE NSW 2034,1
475, SOUTH COOGEE NSW 2034,1
476, MAROUBRA NSW 2035,1
477, MAROUBRA SOUTH NSW 2035,1
478, PAGEWOOD NSW 2035,1
479, CHIFLEY NSW 2036,1
480, EASTGARDENS NSW 2036,1
481, HILLSDALE NSW 2036,1
482, LA PEROUSE NSW 2036,1
483, LITTLE BAY NSW 2036,1
484, MALABAR NSW 2036,1
485, MATRAVILLE NSW 2036,1
486, PHILLIP BAY NSW 2036,1
487, PORT BOTANY NSW 2036,1
488, FOREST LODGE NSW 2037,1
489, GLEBE NSW 2037,1
490, ANNANDALE NSW 2038,1
491, ROZELLE NSW 2039,1
492, LEICHHARDT NSW 2040,1
493, LILYFIELD NSW 2040,1
494, BALMAIN NSW 2041,1
495, BALMAIN EAST NSW 2041,1
496, BIRCHGROVE NSW 2041,1
497, ENMORE NSW 2042,1
498, NEWTOWN NSW 2042,1
499, ERSKINEVILLE NSW 2043,1
500, ST PETERS NSW 2044,1
501, SYDENHAM NSW 2044,1
502, TEMPE NSW 2044,1
503, HABERFIELD NSW 2045,1
504, ABBOTSFORD NSW 2046,1
505, CANADA BAY NSW 2046,1
506, CHISWICK NSW 2046,1
507, FIVE DOCK NSW 2046,1
508, RODD POINT NSW 2046,1
509, RUSSELL LEA NSW 2046,1
510, WAREEMBA NSW 2046,1
511, DRUMMOYNE NSW 2047,1
512, STANMORE NSW 2048,1
513, LEWISHAM NSW 2049,1
514, PETERSHAM NSW 2049,1
515, PETERSHAM NORTH NSW 2049,1
516, CAMPERDOWN NSW 2050,1
517, MISSENDEN ROAD NSW 2050,1
518, UNSW SYDNEY NSW 2052,1
519, NORTH SYDNEY NSW 2055,1
520, CHATSWOOD NSW 2057,1
521, NORTH SYDNEY NSW 2059,1
522, HMAS WATERHEN NSW 2060,1
523, LAVENDER BAY NSW 2060,1
524, MCMAHONS POINT NSW 2060,1
525, NORTH SYDNEY NSW 2060,1
526, NORTH SYDNEY SHOPPINGWORLD NSW 2060,1
527, WAVERTON NSW 2060,1
528, KIRRIBILLI NSW 2061,1
529, MILSONS POINT NSW 2061,1
530, CAMMERAY NSW 2062,1
531, NORTHBRIDGE NSW 2063,1
532, ARTARMON NSW 2064,1
533, CROWS NEST NSW 2065,1
534, GREENWICH NSW 2065,1
535, NAREMBURN NSW 2065,1
536, ROYAL NORTH SHORE HOSPITAL NSW 2065,1
537, ST LEONARDS NSW 2065,1
538, WOLLSTONECRAFT NSW 2065,1
539, LANE COVE NSW 2066,1
540, LANE COVE NORTH NSW 2066,1
541, LANE COVE WEST NSW 2066,1
542, LINLEY POINT NSW 2066,1
543, LONGUEVILLE NSW 2066,1
544, NORTHWOOD NSW 2066,1
545, RIVERVIEW NSW 2066,1
546, CHATSWOOD NSW 2067,1
547, CHATSWOOD WEST NSW 2067,1
548, CASTLECRAG NSW 2068,1
549, MIDDLE COVE NSW 2068,1
550, NORTH WILLOUGHBY NSW 2068,1
551, WILLOUGHBY NSW 2068,1
552, WILLOUGHBY EAST NSW 2068,1
553, WILLOUGHBY NORTH NSW 2068,1
554, CASTLE COVE NSW 2069,1
555, ROSEVILLE NSW 2069,1
556, ROSEVILLE CHASE NSW 2069,1
557, EAST LINDFIELD NSW 2070,1
558, LINDFIELD NSW 2070,1
559, LINDFIELD WEST NSW 2070,1
560, EAST KILLARA NSW 2071,1
561, KILLARA NSW 2071,1
562, GORDON NSW 2072,1
563, PYMBLE NSW 2073,1
564, WEST PYMBLE NSW 2073,1
565, NORTH TURRAMURRA NSW 2074,1
566, SOUTH TURRAMURRA NSW 2074,1
567, TURRAMURRA NSW 2074,1
568, WARRAWEE NSW 2074,1
569, ST IVES NSW 2075,1
570, ST IVES CHASE NSW 2075,1
571, NORMANHURST NSW 2076,1
572, NORTH WAHROONGA NSW 2076,1
573, WAHROONGA NSW 2076,1
574, ASQUITH NSW 2077,1
575, HORNSBY NSW 2077,1
576, HORNSBY HEIGHTS NSW 2077,1
577, WAITARA NSW 2077,1
578, MOUNT COLAH NSW 2079,1
579, MOUNT KURING-GAI NSW 2080,1
580, BEROWRA NSW 2081,1
581, COWAN NSW 2081,1
582, BEROWRA HEIGHTS NSW 2082,1
583, BEROWRA WATERS NSW 2082,1
584, BAR POINT NSW 2083,1
585, BROOKLYN NSW 2083,1
586, CHEERO POINT NSW 2083,1
587, COGRA BAY NSW 2083,1
588, DANGAR ISLAND NSW 2083,1
589, MILSONS PASSAGE NSW 2083,1
590, MOONEY MOONEY NSW 2083,1
591, COTTAGE POINT NSW 2084,1
592, DUFFYS FOREST NSW 2084,1
593, TERREY HILLS NSW 2084,1
594, BELROSE NSW 2085,1
595, BELROSE WEST NSW 2085,1
596, DAVIDSON NSW 2085,1
597, FRENCHS FOREST NSW 2086,1
598, FRENCHS FOREST EAST NSW 2086,1
599, FORESTVILLE NSW 2087,1
600, KILLARNEY HEIGHTS NSW 2087,1
601, MOSMAN NSW 2088,1
602, SPIT JUNCTION NSW 2088,1
603, NEUTRAL BAY NSW 2089,1
604, NEUTRAL BAY JUNCTION NSW 2089,1
605, CREMORNE NSW 2090,1
606, CREMORNE JUNCTION NSW 2090,1
607, CREMORNE POINT NSW 2090,1
608, SEAFORTH NSW 2092,1
609, BALGOWLAH NSW 2093,1
610, BALGOWLAH HEIGHTS NSW 2093,1
611, CLONTARF NSW 2093,1
612, MANLY VALE NSW 2093,1
613, NORTH BALGOWLAH NSW 2093,1
614, FAIRLIGHT NSW 2094,1
615, MANLY NSW 2095,1
616, MANLY EAST NSW 2095,1
617, CURL CURL NSW 2096,1
618, HARBORD NSW 2096,1
619, QUEENSCLIFF NSW 2096,1
620, COLLAROY NSW 2097,1
621, COLLAROY BEACH NSW 2097,1
622, COLLAROY PLATEAU WEST NSW 2097,1
623, WHEELER HEIGHTS NSW 2097,1
624, CROMER NSW 2099,1
625, DEE WHY NSW 2099,1
626, NARRAWEENA NSW 2099,1
627, NORTH CURL CURL NSW 2099,1
628, ALLAMBIE HEIGHTS NSW 2100,1
629, BEACON HILL NSW 2100,1
630, BROOKVALE NSW 2100,1
631, NORTH MANLY NSW 2100,1
632, OXFORD FALLS NSW 2100,1
633, WARRINGAH MALL NSW 2100,1
634, ELANORA HEIGHTS NSW 2101,1
635, INGLESIDE NSW 2101,1
636, NARRABEEN NSW 2101,1
637, NORTH NARRABEEN NSW 2101,1
638, WARRIEWOOD NSW 2102,1
639, MONA VALE NSW 2103,1
640, BAYVIEW NSW 2104,1
641, CHURCH POINT NSW 2105,1
642, ELVINA BAY NSW 2105,1
643, LOVETT BAY NSW 2105,1
644, SCOTLAND ISLAND NSW 2105,1
