,suburb
406, DAWES POINT NSW 2000
407, HAYMARKET NSW 2000
408, MILLERS POINT NSW 2000
409, PARLIAMENT HOUSE NSW 2000
410, SYDNEY NSW 2000
411, SYDNEY SOUTH NSW 2000
412, THE ROCKS NSW 2000
413, SYDNEY NSW 2001
414, WORLD SQUARE NSW 2002
415, THE UNIVERSITY OF SYDNEY NSW 2006
416, BROADWAY NSW 2007
417, ULTIMO NSW 2007
418, CHIPPENDALE NSW 2008
419, DARLINGTON NSW 2008
420, PYRMONT NSW 2009
421, DARLINGHURST NSW 2010
422, SURRY HILLS NSW 2010
423, ELIZABETH BAY NSW 2011
424, HMAS KUTTABUL NSW 2011
425, POTTS POINT NSW 2011
426, RUSHCUTTERS BAY NSW 2011
427, WOOLLOOMOOLOO NSW 2011
428, STRAWBERRY HILLS NSW 2012
429, STRAWBERRY HILLS NSW 2013
430, ALEXANDRIA NSW 2015
431, BEACONSFIELD NSW 2015
432, EVELEIGH NSW 2015
433, REDFERN NSW 2016
434, WATERLOO NSW 2017
435, ZETLAND NSW 2017
436, EASTLAKES NSW 2018
437, ROSEBERY NSW 2018
438, BANKSMEADOW NSW 2019
439, BOTANY NSW 2019
440, MASCOT NSW 2020
441, SYDNEY DOMESTIC AIRPORT NSW 2020
442, SYDNEY INTERNATIONAL AIRPORT NSW 2020
443, MOORE PARK NSW 2021
444, PADDINGTON NSW 2021
445, BONDI JUNCTION NSW 2022
446, BONDI JUNCTION PLAZA NSW 2022
447, QUEENS PARK NSW 2022
448, BELLEVUE HILL NSW 2023
449, BRONTE NSW 2024
450, WAVERLEY NSW 2024
451, WOOLLAHRA NSW 2025
452, BONDI NSW 2026
453, BONDI BEACH NSW 2026
454, NORTH BONDI NSW 2026
455, TAMARAMA NSW 2026
456, DARLING POINT NSW 2027
457, EDGECLIFF NSW 2027
458, HMAS RUSHCUTTERS NSW 2027
459, POINT PIPER NSW 2027
460, DOUBLE BAY NSW 2028
461, ROSE BAY NSW 2029
462, DOVER HEIGHTS NSW 2030
463, HMAS WATSON NSW 2030
464, ROSE BAY NORTH NSW 2030
465, VAUCLUSE NSW 2030
466, WATSONS BAY NSW 2030
467, CLOVELLY NSW 2031
468, CLOVELLY WEST NSW 2031
469, RANDWICK NSW 2031
470, ST PAULS NSW 2031
471, DACEYVILLE NSW 2032
472, KINGSFORD NSW 2032
473, KENSINGTON NSW 2033
474, COOGEE NSW 2034
475, SOUTH COOGEE NSW 2034
476, MAROUBRA NSW 2035
477, MAROUBRA SOUTH NSW 2035
478, PAGEWOOD NSW 2035
479, CHIFLEY NSW 2036
480, EASTGARDENS NSW 2036
481, HILLSDALE NSW 2036
482, LA PEROUSE NSW 2036
483, LITTLE BAY NSW 2036
484, MALABAR NSW 2036
485, MATRAVILLE NSW 2036
486, PHILLIP BAY NSW 2036
487, PORT BOTANY NSW 2036
488, FOREST LODGE NSW 2037
489, GLEBE NSW 2037
490, ANNANDALE NSW 2038
491, ROZELLE NSW 2039
492, LEICHHARDT NSW 2040
493, LILYFIELD NSW 2040
494, BALMAIN NSW 2041
495, BALMAIN EAST NSW 2041
496, BIRCHGROVE NSW 2041
497, ENMORE NSW 2042
498, NEWTOWN NSW 2042
499, ERSKINEVILLE NSW 2043
500, ST PETERS NSW 2044
501, SYDENHAM NSW 2044
502, TEMPE NSW 2044
503, HABERFIELD NSW 2045
504, ABBOTSFORD NSW 2046
505, CANADA BAY NSW 2046
506, CHISWICK NSW 2046
507, FIVE DOCK NSW 2046
508, RODD POINT NSW 2046
509, RUSSELL LEA NSW 2046
510, WAREEMBA NSW 2046
511, DRUMMOYNE NSW 2047
