,0,1,2,3,4,5,6,7,8
164/507 Wattle Street BROADWAY NSW 2007,"Sold $519,000 in Mar 2011",Other:,"Land size: 1,364 sqm",Distance: 89 metres,Street view | Nearby,,,,
114/507 Wattle Street BROADWAY NSW 2007,"Sold $875,000 in Feb 2011",Commercial Property,"Land size: 1,364 sqm",Distance: 89 metres,Street view | Nearby,,,,
100/507 Wattle Street BROADWAY NSW 2007,"Sold $875,000 in Feb 2011",Commercial Property,"Land size: 1,364 sqm",Distance: 89 metres,Street view | Nearby,,,,
99/507 Wattle Street BROADWAY NSW 2007,"Sold $875,000 in Feb 2011",Commercial Property,"Land size: 1,364 sqm",Distance: 89 metres,Street view | Nearby,,,,
98/507 Wattle Street BROADWAY NSW 2007,"Sold $875,000 in Feb 2011",Commercial Property,"Land size: 1,364 sqm",Distance: 89 metres,Street view | Nearby,,,,
97/507 Wattle Street BROADWAY NSW 2007,"Sold $875,000 in Feb 2011",Commercial Property,"Land size: 1,364 sqm",Distance: 89 metres,Street view | Nearby,,,,
404/507A Wattle Street BROADWAY NSW 2007,"Sold $709,000 in Mar 2011",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
166/507 Wattle Street BROADWAY NSW 2007,"Sold $519,000 in Mar 2011",Other:,"Land size: 1,364 sqm",Distance: 89 metres,Street view | Nearby,,,,
165/507 Wattle Street BROADWAY NSW 2007,"Sold $519,000 in Mar 2011",Other:,"Land size: 1,364 sqm",Distance: 89 metres,Street view | Nearby,,,,
115/507 Wattle Street BROADWAY NSW 2007,"Sold $875,000 in Feb 2011",Commercial Property,"Land size: 1,364 sqm",Distance: 89 metres,Street view | Nearby,,,,
209/507A Wattle Street BROADWAY NSW 2007,"Sold $645,000 in Aug 2009",Unit:,"Land size: 1,538 sqm",Distance: 89 metres,Street view | Nearby,,,,
